id,WHO,WHAT-murder,WHAT-rape,WHAT-sexual_assault,WHAT-abuse,WHAT-harassment,WHAT-fear,WHAT-disgust/sadness/anger
989927006115717120,3,,,,,,,1
990800480778539008,4,,,,,,,
991160561873207296,3,,,,,,,1
990773829659226117,1,,1,,,,,
991479510687248384,3,,,,,,,1
990958142635864065,1,,,,,1,,1
991837241428279299,4,,,,,,,
991846603043434496,1,,,1,,1,,
990812281117212672,1,,,,,,,1
991003269836279808,4,,,,,,,
991220812135960576,2,,,,,,,
990797551027871746,3,,,,,,,
991562691142651904,2,,,,,,,
989922881667784704,3,,,,,,,
990997570100125696,3,,,,,,,1
989967565152833537,1,,,1,,,,
989884295232835584,1,,,1,,,,
991371097810628610,3,,,,,,,
991775282645340166,4,,,,,,,
990110712004476928,1,,,1,,,,
989967555392655361,1,,,1,,1,,
990829071360806912,4,,,,,,,
990295303239733248,3,,,,,,,1
990352329139544074,4,,,,,,,
990826652153339904,3,,,,,,,
990848243348189185,2,,,,,,,
989989828635889664,4,,,,,,,
989965137716105216,3,,,,,,,
990790638043123713,3,,,,,,,1
991438899762421760,1,,,,,1,,
991689222867374086,3,,,,,,,1
991920692668092417,1,,,1,,1,,
990891377679568896,4,,,,,,,
990248380516454400,4,,,,,,,
990830985058152449,3,,,,,,,1
990194296581222402,1,,,,,1,,
991729054075293697,2,,,,,1,,
990921647199834113,3,,,,,,,1
990316438136160256,3,,,,,,,1
990223157347930112,4,,,,,,,
990751239616061445,5,,,,,,,
991137795191328768,3,,,,,,,
991029659130359808,1,,,,,1,,
991799863997292544,4,,,,,,,
989991553388236801,1,,,,,1,,
991071415037317120,4,,,,,,,
990931744676343808,1,,1,,,,,1
990977649563570181,3,,,,,,,
994299371004063744,4,,,,,,,
991104498230755330,4,,,,,,,
990955869671251968,4,,,,,,,
991360957191475200,4,,,,,,,
991366949337677824,1,,,,,1,,
990218924003340288,1,,,,,1,,
990967511339487238,3,,,,,,,
990902040653156358,1,,,,,1,,
991148898755506176,1,,,1,,,,
990169029091450880,2,,,,,1,,
990903558739496960,2,,,1,,,,
990213519516856320,1,,,,,,,1
991320498138120192,3,,,,,,,
991015823891423237,3,,,,,,,1
990993010623238145,3,,,,,,,1
989985762249670656,1,,,1,,,,
990977345245859840,1,,,1,,,,
989874887253774337,2,,,1,,,,
991004431671091210,3,,,,,,,1
990175048815300608,3,,,,,,,
989910564523663360,3,,,,,,,1
991633744019804160,4,,,,,,,
990169999791788032,4,,,,,,,
990948482151305216,2,,1,,1,,,
991364942593953792,3,,,,,,,
989919892123062272,1,,,1,,,,
990335648065351681,3,,,,,,,1
992596122454675456,3,,,,,,,1
990827504830242816,4,,,,,,,
992664361868185600,4,,,,,,,
990129284781150208,3,,,,,,,1
991013771975053312,3,,,,,,,1
991092783808204800,3,,,,,,,1
989928465150496768,3,,,,,,,
990749635512819712,1,,,,,,,
990268058483679233,1,,,,,1,,
990353474322948102,3,,,,,,,
991547444788912129,3,,,,,,,1
990366462262030336,1,,,,,1,,
991003198046588928,2,,1,,,,,
990292226294022145,1,,,1,,,,1
990180661196677120,1,,,,,1,,
990124208746303488,1,,,,,1,,
990944308403560448,1,,,1,,,,
990208851755569152,1,,,1,,,,
990971721632112642,1,,,,,,,
990856125334654977,2,,,1,,,,
991338056438505477,4,,,,,,,
990925772067102721,1,,,,,1,,
990241053071507457,1,,,,,1,,
991324471507243009,3,,,,,,,
991384329765949440,1,,,,1,,,
991080496984707073,3,,,,,,,1
991875836314771456,3,,,,,,,1
990955902701326336,3,,,,,,,1
990256967989059584,1,,,1,,,,
991864128858927104,3,,,,,,,1
990986104332484610,3,,,,,,,
989968780422983683,1,,,,,,,
990979879528169474,1,,,1,,,,
990965626163392512,3,,,,,,,1
991185539536736256,3,,,,,,,
990969677978460161,4,,,,,,,
992559634383851522,4,,,,,,,
990789090902728705,3,,,,,,,
992668762120876032,3,,,,,,,
991735320327704576,4,,,,,,,
994572542487728128,3,,,,,,,
990909481579139072,4,,,,,,,
992776336849678336,1,,1,,,,,
992863591639535616,4,,,,,,,
991272834411515905,4,,,,,,,
991460159061970947,3,,,,,,,
991695682535919616,5,,,,,,,
990218930865262592,3,,,,,,,
991130405809131521,3,,,,,,,
990877685734887424,4,,,,,,,
990776020918824961,4,,,,,,,
989854654115741697,1,,,,,1,,
991177891152003072,2,,,,1,,,
990802800656441346,5,,,,,,,
991139055265075205,3,,,,,,,
991106632045252608,1,,,,1,,,
990024721013067776,3,,,,,,,
994559901618851842,4,,,,,,,
989934688545464323,1,,,1,,,,
990183197278425088,3,,,,,,,
990098903050616834,3,,,,,,,
991026305864032256,4,,,,,,,
990787942305140736,2,1,1,,,,,
991386673719193601,3,,,,,,,
989968931883503616,4,,,,,,,
991873599840518144,3,,,,,,,
990231816773820416,3,,,,,,,
991139422103056384,1,,,1,,1,,
991069659972669445,3,,,,,,,
990836875232448512,1,,,,,,,
991087115944562688,3,,,,,,,
990260962950352896,1,,,1,,,,
991001484669145088,3,,,,,,,
991023422061850627,1,,,1,,,,
990839762939449344,4,,,,,,,
989960347485339650,4,,,,,,,
989873356752216066,5,,,,,,,
990229914531127298,1,,,,,1,,
991678469259055104,1,,,,,1,,
991037074831757312,1,,,1,,,,
990931432439795713,2,,,,1,,,
990006726270291968,5,,,,,,,
991890909485813760,2,,,,,,,
989964373925023745,1,,,,,,1,
989946493816713216,4,,,,,,,
990158224212062208,3,,,,,,,
989881095528288256,3,,,,,,,
990236514033467392,4,,,,,,,
991072166614626331,4,,,,,,,
991441520447377411,1,,1,,,,,
990359734833295360,1,,,,,1,,
991141266992779264,1,,,1,,1,,
990950001890258945,2,,1,,,,,
991460645357973506,3,,,,,,,1
990303968852086784,1,,,,,,1,
989961145439150082,1,,,,,,1,
989950176470151169,1,,,,,,1,
990816084315049984,3,,,,,,,
990791661134499840,1,,,,1,1,,
991425857720848384,3,,,,,,,
990998755666268168,3,,,,,,,1
991321024875646981,3,,,,,,,
990972604403068929,4,,,,,,,
992009523861884928,4,,,,,,,
991839844912463872,3,,,,,,,
991124195093434368,3,,,,,,,1
990943696190402560,3,,,,,,,1
990161992014057477,3,,,,,,,
990756145383071744,2,1,1,,,,,
991862885017112576,4,,,,,,,
990788529448943616,3,,,,,,,1
991216095246929920,,,,,,,,
991033487980482560,4,,,,,,,
990757158403919872,4,,,,,,,1
990773007864954880,3,,,,,,,1
991252088117256192,3,,,,,,,1
990147476899422208,1,,,,1,1,,
990991157793624066,1,,,,,1,,
993632061423538176,1,,,1,,,,
991051458480140288,3,,,,,,,1
990337237630976001,1,,,,,,,1
990134814761209856,4,,,,,,,
992778673714532352,4,,,,,,,
991348259674304513,1,,,,,1,,
991048524388237313,2,,,1,,,,
990826404114763777,1,,,,,1,,1
991430781368258560,3,,,,,,,
989994807836790784,1,,,,,1,,
989984206443991040,1,,,,,1,,
991190215590105089,4,,,,,,,
990210464566120449,1,,,,,1,,
991302591786160128,3,,,,,,,1
991377399785951233,3,,,,,,,1
990027698570432514,3,,,,,1,,
990364147220180992,3,,,1,,,,
989883945704505344,1,,,,,1,,
990034433637044226,1,,,,,1,,
990929633154658304,1,,,1,,,,
990254667811774465,3,,,,,,,
991904511449944064,4,,,,,,,
990219524304760833,3,,,,,,,
990142419181211648,4,,,,,,,
991138722442829825,1,,,,,1,,
991288646878851073,3,,,,,,,
990305480206675968,4,,,,,,,
990354961857941504,1,,,,,1,,
990842059769643010,3,,,,,,,
990805280748339200,3,,,,,,,1
991719026761007105,4,,,,,,,
990246390117879808,3,,,,,,,
991421693557182464,1,,,,,,,
989886895403479040,4,,,,,,,
991098457506148357,1,,,,,1,,
990970538536460290,3,,,,,,,1
991341154103803905,1,,,,,,1,
991265133602246657,1,,,,,,1,
991165790756986882,3,,,,,,,1
990803655375900672,4,,,,,,,
990023109255327744,1,,,,,1,,
990275674731634688,2,,1,,1,,,
993529746226106369,1,,,1,,,,
990794972277460993,3,,,,,,,
991061772512751616,4,,,,,,,
990953941247590401,3,,,,,,1,
990298419569807360,1,,,,,,,1
991732562547691520,3,,,,,,,
991134218758565889,3,,,,,,,1
991518411313303553,1,,,,,,1,
991006959871692800,3,,,,,,,1
991074638003392514,3,,,,,,,1
990774150254989312,4,,,,,,,
991004281728897024,3,,,,,,,1
990162705402224640,1,,,,,1,,
990219063321391105,3,,,,,,,
991749946259931136,4,,,,,,,
989931759939801088,4,,,,,,,
991673265369309185,4,,,,,,,
991460803680329728,4,,,,,,,
992142391908945920,1,,,,,,1,
990996115641307136,3,,,,,,,
990994145119436800,3,,,,,,,
990933127114756096,4,,,,,,,
991431042069422081,3,,,,,,,
990992979916713985,3,,,,,,,
992742524300210176,3,,,,,,,1
989828337857126401,1,,,1,,,,
991699732039979008,4,,,,,,,
990183399867469824,1,,,,,1,,
991412930389467137,3,,,,,,,
990749704593051650,2,1,,,,,,
990800388533170176,3,,,,,,,1
991034266992742400,4,,,,,,,
991087529179824129,3,,,,,,,1
990761587437965313,3,,,,,,,
992177000671571969,4,,,,,,,
990299765014482945,1,,,,,1,,
991133935315898369,3,,,,,,,
989886664309866496,1,,,,1,,,
990230352391221248,1,,,,,1,,
990087539745873926,1,,,,,,1,
990843944551493632,1,,,1,,,,
993840328183599105,1,,,,1,1,,
991404768571555840,3,,,,,,,1
991077093709578241,4,,,,,,,
990001535231954945,1,,1,,,,,
990846820397080576,1,,,,,,1,
991110548103270400,1,,1,,,,,
991001465601785857,1,,,,,,1,
991124943176916992,5,,,,,,,
991191737400836096,4,,,,,,,
990850848875073537,1,,,,,,1,
990237175865331713,3,,,,,,,
989906423688646657,3,,,,,,,1
990314970503053312,3,,,,,,1,1
990372117094064128,1,,,1,,,,
990176855385833472,1,,,,,1,,
991322269191426048,4,,,,,,,
990828681051430920,4,,,,,,,
991016782549995521,2,,1,,,,,
992082060314595333,3,,,,,,,
990829700703453184,3,,,,,,,
991001798390571008,5,,,,,,,
990922446038499329,4,,,,,,,
990789413721595904,4,,,,,,,
989919856978997249,1,,,,,,1,
990958652302512133,2,1,,,,,,
990261894228389888,2,1,1,,,,,
991022081717358592,4,,,,,,,
991630287594557440,4,,,,,,,
990782264807174144,2,,1,,,,,
990221538686316544,3,,,,,,,1
990239783057330177,4,,,,,,,
991464465681051655,2,,,1,,,,
990232843967180800,2,1,1,,,,,
990775961053483009,4,,,,,,,
990282875856662529,3,,,,,,,1
991379759119683584,1,,,,,,1,
990232669211545605,4,,,,,,,
991071724291571712,1,,,,,,1,
992096942665580545,3,,,,,,,1
990195270121086976,1,,,,1,,,
991071518133284864,1,,,1,,1,,
990810385065431040,1,,,1,,,,
990135031137030145,1,,,,,1,,
991007487057940480,3,,,,,,,
990773024227057664,2,,,,1,,,
990020627984723968,1,,,,,1,,
990011783166529537,1,,,,,1,,
991700112454897664,4,,,,,,,
990942640786038786,3,,,,,,,1
989856725909073920,3,,,,,,,
990267585785749505,1,,,,,,1,
992674795044134912,2,1,1,,,,,
991163888157822978,3,,,,,,,1
991127349134585856,4,,,,,,,
991366784874897408,3,,,,,,,
991021552090210305,3,,,,,,,1
990797373285822464,1,,,,,1,,
990033836095438848,1,,,,,1,,
990006372149465089,1,,,,,1,,
991254671951056897,3,,,,,,,
991077829495451648,1,,,,1,,,
989977723773865984,1,,,,,1,,
991288777929879552,4,,,,,,,
990031673155825664,4,,,,,,,
990218780923088896,3,,,,,,,
991553107300634624,1,,,1,1,,,
991428266186682375,2,1,,,,,,
992123026635403264,3,,,,,,,
990264424098353152,1,,,,,1,,
991517729680175104,5,,,,,,,
991905809708781573,3,,,,,,,
991065547688366081,2,,,1,,,,
990797185687093248,4,,,,,,,
991532556691570689,3,,,,,,,1
991187448205119488,1,,,1,,,,
991551003408334848,3,,,,,,,1
991885862613929985,4,,,,,,,
991087651972362240,4,,,,,,,
991482968240738304,2,,1,,,,,
990248950753046528,1,,,,,1,,
989880866192142336,1,,,,,1,,
990970926635286528,3,,,,,,,1
991652666542575616,5,,,,,,,
990788909666729985,3,,,,,,,1
991109052104151041,3,,,,,,,1
991159680884977666,1,,,,,1,,
991035012307980288,3,,,,,,,
990004361962061824,1,,,,,1,,
991169132593893377,3,,,,,,,1
990274365475483649,3,,,,,,,1
989927429727760385,4,,,,,,,
990360016124350465,1,,1,,,,,
991617496544415745,1,,,,,1,,
990772166718353409,3,,,,,,,1
991117906166648832,1,,,1,,,,
990947644066484224,3,,,,,,,1
989952681157459968,4,,,,,,,
991505594879266816,1,,,,,1,,
990998262952980481,3,,,,,,,1
991739271349460993,1,,,,,1,,
991549208212770816,3,,,,,,,
990879898846810112,1,,,1,,,,
991621086906343424,3,,,,,,,
991019323039846400,2,1,,,,,,
990753264449802240,1,,,,,,1,
990944010859679746,3,,,,,,,
990808527626227712,1,,,1,,,,
990796382096240641,1,,,,,,1,
990797439190761472,1,,,,,1,,
991427826854318080,1,,,,,,1,
991185823595888641,1,,,,,,1,
990809018829627392,1,,,,,1,,
992860335848771584,3,,,,,,,
990255352938713089,1,,,,,1,,
989965815977005056,4,,,,,,,
991367334743957504,3,,,,,,,1
991101888186679296,3,,,,,,,1
990865316610703362,4,,,,,,,
991775431866179584,3,,,,,,,
989930898647855104,3,,,,,,,
990963511118397440,2,1,1,,,,,
991066175705698307,3,,,,,,,1
990832249405833216,3,,,,,,,1
990963737438941185,1,,,,,,1,
991663515533500421,4,,,,,,,
989922738512060416,5,,,,,,,
991192148501585921,2,1,1,,,,,
990176886402756608,1,,,,,1,,
990791400152322050,1,,,,1,,,
989977325533040646,5,,,,,,,
991031571103780865,4,,,,,,,
989951948626513920,3,,,,,,,
990150418641670144,4,,,,,,,
990763381018824705,1,,,,,,1,
989975440944136192,4,,,,,,,
991117068417355776,4,,,,,,,
990325798497411072,1,,,,,,1,
991080947524218885,1,,,,,1,,
990779703211393030,1,,,,,,1,
991088726456627200,4,,,,,,,
991007481345249280,4,,,,,,,
990129406613114881,4,,,,,,,
991155602763247616,1,,,,,,1,
991012919054950400,1,,,,,,,
991524954301698048,1,,,,,1,,
990752444513767425,3,,,,,,,1
991731548864106497,3,,,,,,,
991066270022995969,4,,,,,,,
993953049319223296,5,,,,,,,
991091524405485573,5,,,,,,,
992854826370428928,5,,,,,,,
990827342527426560,1,,,,,,1,
991385265741684736,3,,,,,,,
991745361030123520,4,,,,,,,
990928402122182656,3,,,,,,,
991806936894136321,3,,,,,,,
990847860261425152,3,,,,,,,1
989923796927893505,3,,,,,,,
989967435632660480,1,,,,,,1,
990799405455478784,4,,,,,,,
989900823294509056,1,,,1,,,,
990165888228839424,3,,,,,,,
991065160147185664,3,,,,,,,
991128280895033344,3,,,,,,,1
991253846453358595,5,,,,,,,
990185450642997253,1,,,,,1,,
990786387027755008,1,,,,,,,1
990192238532681728,4,,,,,,,
991579322422087680,1,,,,,,1,
990356614426349568,3,,,,,,,
990993905293258752,1,,,,,1,,
990995764150226944,3,,,,,,,1
989987842775568386,1,,,1,,,,
991042774085570561,3,,,,,,,
991096521918697472,3,,,,,,,
991103913117077504,3,,,,,,,
991331541409288192,4,,,,,,,
990276583859671041,1,,,1,,,,
991111643709964289,3,,,,,,,
990363410587160576,3,,,,,,,
991022405178052608,4,,,,,,,
991111790409977856,1,,,,1,1,,
995254845522235392,1,,,,,,1,
991882374215585793,3,,,,,,,
991326667682582528,4,,,,,,,
989950593967034369,1,,,,,1,,
990225299945213953,4,,,,,,,
989993175606579200,1,,,,,1,,
991056513304350720,3,,,,,,,1
992104200531333120,3,,,,,,,1
990341714798931968,1,,,,,,1,
991172853679710208,1,,,,,,1,
993301167005368320,4,,,,,,,
990786055568752640,3,,,,,,,1
992787958263631872,4,,,,,,,
991402891767435266,3,,,,,,,
990221967604289536,1,,,,,1,,
991640451210989568,3,,,,,,,
990784150620778497,1,,,1,,,,
990924926084370432,3,,,,,,,1
991566418998153217,3,,,,,,,1
990962220707311616,1,,1,,,,,
990971975869911040,3,,,,,,,1
990804856943333376,3,,,,,,,
990860727752765440,1,,,,,,1,
991059410289086464,1,,,1,,,,
990968881664716811,4,,,,,,,
990900498042638338,4,,,,,,,
990813688725692417,3,,,,,,,
990159598215626752,1,,,1,,,,
990368247622066176,1,,,,,1,,
990153115319132160,1,,,,,,1,
990025087679123456,3,,,,,,,
990033049915199489,3,,,,,,,
990855557283241985,4,,,,,,,
990814600705789957,1,,,,,1,,
990200551093735425,3,,,,,,,
991112182627782656,3,,,,,,,
991322558028025857,1,,,1,,,,
991720220506181632,4,,,,,,,
990297061340995586,1,,,,,1,,
991916681994883072,4,,,,,,,
991983109989130240,5,,,,,,,
991363476059717632,1,,,1,,,,
991108394143617025,3,,,,,,,
991106654614835200,5,,,,,,,
991015689237553154,1,,,,,1,,
991722393457618945,4,,,,,,,
991214578452320257,3,,,,,,,1
990989066459021313,1,,,1,,,,
991061611501801473,3,,,,,,,
991456443428757506,1,,,1,,,,
990242355100962816,2,,,,1,,,
990007450534326272,3,,,,,,,1
989980769589358593,4,,,,,,,
991382399035559936,3,,,,,,,1
990271255860383744,3,,,,,,,1
991111139785261056,4,,,,,,,
991002415951433728,3,,,,,,,1
991152891330117632,3,,,,,,,
991031172162572289,4,,,,,,,
990752406098063360,3,,,,,,,
991177655243427840,3,,,,,,,1
990982476439965697,3,,,,,,,
991355491593973760,1,,,1,,,,
991570711603970048,5,,,,,,,
991022335569420288,3,,,,,,,
990200884704481280,5,,,,,,,
990783078489567232,3,,,,,,,
990793001340424193,3,,,,,,,
990779317868253184,3,,,,,,,1
990302140156530688,1,,,,,1,,
991658359760867329,1,,,,,,1,
991140479420059648,3,,,,,,,
990866437966266368,3,,,,,,,1
990184075259449344,3,,,,,,,
991612250405273600,3,,,,,,,
991553604472459264,3,,,,,,,
991140353175670784,4,,,,,,,
990195938835693568,1,,,,,,1,
991818729724968960,3,,,,,,,1
990967904408621056,1,,,,,,,
990994778866245637,1,,,,,,1,
990805729543163906,3,,,,,,,1
991154435744202752,4,,,,,,,
990003315101626368,3,,,,,,,1
989891562367848448,1,,,,1,,,
991815574383661056,1,,,,,,1,
990783099175923714,1,,,,,,1,
990848926361227265,1,,,1,,,,
989967659625336833,1,,,,,,1,
990165236215898112,1,,,,,1,,
990825361062719493,1,,,,,,1,
990857137621520385,3,,,,,,,
991125545772552193,1,,,,,,1,
991129885451149312,4,,,,,,,
991374075158253573,4,,,,,,,
990186986433589250,2,,,1,,,,
991625572689285122,4,,,,,,,
991457238316474369,2,1,1,,,,,
990803920934010880,3,,,,,,,1
991317792531066886,3,,,,,,,1
990820938206924801,1,,,1,,,,
991493578965823488,2,,,1,,,,
990956826853289985,2,,,1,,,,
989945555227955200,1,,,,,1,,
991298001166635009,2,,1,,,,,
990747023694540801,3,,,,,,,
991072858175606785,3,,,,,,,1
990847944701202437,4,,,,,,,
991079355831988226,4,,,,,,,
990282356413075458,1,,,1,,,,
990157729049317376,4,,,,,,,
991489200116715521,1,,,,,1,,
991396759590113282,3,,,,,,,1
991459748779364352,3,,,,,,,1
990806319132217345,5,,,,,,,
991446419319021568,4,,,,,,,
993852112902787073,4,,,,,,,
990844310466777090,3,,,,,,,1
991515879417548800,2,,,,,1,,
991278020039204864,3,,,,,,,
991260406965522435,4,,,,,,,
990886839945977856,4,,,,,,,
990831167128723456,3,,,,,,,1
991527090523648002,3,,,,,,,1
990996435515650050,5,,,,,,,
990939141146927105,1,,,,,,1,
991659662645788672,3,,,,,,,
990940104679153664,1,1,,,,,,
991713669498179584,4,,,,,,,
990952389925580802,3,,,,,,,1
989909472096251904,5,,,,,,,
990809013771292673,3,,,,,,,1
990372385210630144,1,,,,,,1,
990901803888803840,2,1,1,,,,,
990356383899049984,1,,,1,,,,
990277822982836224,3,,,,,,,
991111073964191746,3,,,,,,1,
990915559251415040,4,,,,,,,
990968700164624384,3,,,,,,,1
990361470717386752,3,,,,,,,1
990320042582663168,1,,,,,1,,
991736851860946945,3,,,,,,,1
993341305148362752,3,,,,,,,1
990806788156067840,3,,,,,,,1
990163226133516290,3,,,,,,,1
991805816754851840,,,,,,,,
991387897407258629,5,,,,,,,
990843221403164673,4,,,,,,,
990754338430742528,4,,,,,,,
990776697699098624,3,,,,,,,1
989872041313619968,3,,,,,,,
991166470162874369,4,,,,,,,
989997953694789632,1,,,,,,1,
990999340964511745,1,,,,,1,,
991232480018665482,4,,,,,,,
990768205680570368,4,,,,,,,
991994095269826560,3,,,,,,,1
991060001644040195,3,,,,,,,
989964216844144641,3,,,,,,,
991131044433850368,1,,,1,,,,
990925035098517504,1,,,,,1,,
990991225137266688,3,,,,,,,
990769982677094402,1,,,,,,1,
992185376373657600,3,,,,,,,
991344387887108096,2,,,,,1,,
989959946161786880,1,,,,,1,,
991439628031836160,3,,,,,,,
991196295267221504,3,,,,,,,1
990204315154477057,1,,,,,,1,
990991841368657927,3,,,,,,,
990775377583845378,2,1,,,,,,
990844138177343489,3,,,,,,,1
990903966492852224,3,,,,,,,1
989991884641783810,1,,,,,,1,
991034853402578944,3,,,,,,,
990932237972574208,2,,1,,,,,
992898691353776128,2,,,,,1,,
990143979625820160,1,,,,,1,,
991244346631622656,3,,,,,,,1
990852065160302592,4,,,,,,,
991707007634767872,4,,,,,,,
990301589381566465,1,,,1,,,,
990141383435579392,4,,,,,,,
990171079007244289,2,,1,,,,,
990114578267869184,3,,,,,,,1
990189727197298688,1,,,,,1,,
990834987653124096,1,,,,,,1,
989925005659131904,4,,,,,,,
991025433666867200,3,,1,,,,,
990362907883065345,1,,,,,1,,
991443437038784513,2,1,,,,,,
991103048553508864,3,,,,,,,
991866222441631746,1,,,,,1,,
989926605085724673,1,,,1,,,,
990805113076936705,2,1,1,,,,,
990005130589286400,2,,,1,,,,
990928517952090113,4,,,,,,,
990780172050862080,3,,,,,,,
991457916531159041,3,,,,,,,
989913598003687424,1,,,,,1,,
990771953286991873,1,,1,,,,,
990365981309587456,1,,,1,,,,
991561949967241216,3,,,,,,,1
992069165266735109,5,,,,,,,
991171604179800064,3,,,,,,,1
990957803752820740,2,,,,1,,,
989909823344009216,3,,,,,,,1
990921753898704896,4,,,,,,,
991053318704324608,3,,,,,,,1
991118265949851648,3,,,,,,,1
991151350997188608,4,,,,,,,
991186824335974400,3,,,,,,,
990325049893801984,2,1,,,,,,
989965503048376321,1,,,,,,1,
990188141893087233,4,,,,,,,
991010384038383617,4,,,,,,,
990169433011351552,1,,,,,1,,
990776796009435136,3,,,,,,,1
989867704298426370,4,,,,,,,
990010456856293376,3,,,,,,,
991878599480242176,1,,,,,1,,
990010723748253697,1,,,,,,1,
991700457809698817,1,,,,,,1,
989966384154202112,1,,,1,,,,
990973283045650442,4,,,,,,,
990814593223155712,1,,,,,,1,
990006935679373313,5,,,,,,,
990324628844400640,1,,,,,,1,
989997416052084736,4,,,,,,,
991050106261639168,4,,,,,,,
991040975777738753,1,1,,,,,,
990813184062877701,5,,,,,,,
991003384768532481,3,,,,,,,1
990812305255550977,2,,,1,,,,
990116934346735616,3,,,,,,,1
992108565467934720,1,,,1,,,,
989971994627182592,2,,1,,,,,
993938875205783555,4,,,,,,,
990232865584672768,4,,,,,,,
991105603048263682,3,,,,,,,1
990968269719900160,4,,,,,,,
991098655863173120,4,,,,,,,
991213866054045697,1,,,,1,,,
990796597444390912,1,,,,,1,,
991984277897334784,1,,1,,,,,
991156742741483521,1,,,,,1,,
991485975321866240,1,1,,,,,,
991573328858173440,4,,,,,,,
990812681228750850,4,,,,,,,
990163674798141440,3,,,,,,,1
991494986003869696,4,,,,,,,
993789029962469377,3,,,,,,,1
990784567182266368,1,,,,,,1,
991547432306724864,1,,,,,,1,
991022470265262081,3,,,,,,,1
991102292488347649,3,,,,,,,
990190966706491394,1,,,,,1,,
989917898436235264,3,,,,,,,
991860194215976966,4,,,,,,,
990819268920045569,3,,,,,,,1
989955320771502080,1,,,1,,,,
991032383959904256,1,,,1,,,,
994070202194284544,3,,,,,,,
990806937716645889,2,1,,,,,,
989982686482755595,3,,,,,,,1
991679502395854848,4,,,,,,,
990788165446373377,3,,,,,,,
990143620949925888,1,,,1,,,,
990319740550832128,4,,,,,,,
989806217982816257,3,,,,,,,
991993497040416769,3,,,,,,,1
990300560044814337,1,,,,,1,,
990842967589113858,1,,,1,,,,
990815315905871872,5,,,,,,,
991280970899841025,3,,,,,,,1
991300880635973633,4,,,,,,,
990173911114448896,1,,,,,1,,
990994477031583745,4,,,,,,,
991099269192044544,3,,,,,,,
990788376042258432,2,1,,,,,,
991845096797581312,2,1,,,,,,
990356464563826688,3,,,,,,,1
990850001063563264,3,,,,,,,1
990015122621026304,1,,,,,,1,
991089216946884608,3,,,,,,,1
990933905204183040,3,,,,,,,
990237246543495168,3,,,,,,,
994004032132997120,4,,,,,,,
989983156265717760,3,,,,,,,
992188387460288524,5,,,,,,,
990944799099445248,4,,,,,,,
990262256679170048,1,,,,,1,,
990831458456662017,5,,,,,,,
991116450944503808,1,,,1,,,,
991000401024610305,1,,,1,,,,
990375372977065984,1,,,,,1,,
991749494747402241,4,,,,,,,
990976092638007296,1,,,,1,,,
991521929155792896,3,,,,,,,
990013061128957952,4,,,,,,,
990780876823949312,1,,,,,1,,
991022938785828864,1,,,1,,,,
990279609018089473,1,,,,,,1,
991126860938530816,4,,,,,,,
